Topic,cosine_rank_norm,eqn_rank_norm,usefulness_rank_norm,hybrid_score
Neurodiversity,90.57971014,98.55072464,95.65217391,95.79710145
Inner child and healing,85.50724638,94.20289855,98.55072464,94.20289855
Aging and life stages,95.65217391,80.43478261,91.30434783,87.82608696
Gender and sexuality,100,72.46376812,94.20289855,86.66666667
Chronic illness and mental health,92.75362319,65.2173913,92.75362319,81.73913043
Bipolar Disorder,31.88405797,95.65217391,85.50724638,78.84057971
Intimacy issues,98.55072464,50.72463768,97.10144928,78.84057971
Codependency and attachment,49.27536232,86.95652174,84.05797101,78.26086957
Social Anxiety Disorder,65.2173913,80.43478261,82.60869565,78.26086957
Navigating therapy,53.62318841,76.8115942,89.85507246,77.39130435
Impostor syndrome,60.86956522,100,62.31884058,77.10144928
Medication and psychiatry,56.52173913,82.60869565,81.15942029,76.8115942
Cultural or generational conflict,97.10144928,42.02898551,100,76.23188406
Attention Deficit Hyperactivity Disorder (ADHD),39.13043478,84.05797101,78.26086957,72.75362319
Decision fatigue,90.57971014,49.27536232,86.95652174,72.60869565
Shame and guilt,62.31884058,73.91304348,75.36231884,72.17391304
Borderline Personality Disorder (BPD),0,92.02898551,79.71014493,68.69565217
Body-focused behaviors,55.07246377,92.02898551,50.72463768,68.11594203
Financial stress,88.4057971,31.88405797,88.4057971,65.79710145
Generalized Anxiety Disorder (GAD),57.97101449,69.56521739,63.76811594,64.92753623
Journaling and reflection,73.91304348,62.31884058,56.52173913,62.31884058
Religious or spiritual conflict,86.95652174,55.07246377,53.62318841,60.86956522
Isolation during holidays,50.72463768,68.11594203,57.97101449,60.57971014
LGBTQ+ identity struggles,20.28985507,89.85507246,47.10144928,58.84057971
Intrusive thoughts,63.76811594,85.50724638,28.98550725,58.55072464
Perfectionism,33.33333333,57.97101449,65.2173913,55.94202899
Nighttime anxiety and sleep paralysis,46.37681159,97.10144928,18.84057971,55.65217391
Major Depressive Disorder (MDD),8.695652174,66.66666667,68.11594203,55.65217391
Identity exploration,81.15942029,36.23188406,60.86956522,55.07246377
Panic Disorder,23.1884058,88.4057971,34.7826087,53.91304348
Overthinking and rumination,42.02898551,78.26086957,33.33333333,53.04347826
Happiness and fulfillment,94.20289855,17.39130435,66.66666667,52.46376812
Romantic relationship issues,76.8115942,21.73913043,71.01449275,52.46376812
Digital wellness,79.71014493,39.13043478,52.17391304,52.46376812
Post-Traumatic Stress Disorder (PTSD),66.66666667,46.37681159,47.10144928,50.72463768
Mental health stigma,21.73913043,33.33333333,76.8115942,48.4057971
Family dynamics,59.42028986,15.94202899,73.91304348,47.82608696
Career uncertainty,78.26086957,18.84057971,59.42028986,46.95652174
Social anxiety,47.82608696,37.68115942,55.07246377,46.66666667
Anger and irritability,43.47826087,52.17391304,42.02898551,46.37681159
Communication and boundaries,82.60869565,1.449275362,72.46376812,46.08695652
Self-criticism and negative self-talk,29.71014493,59.42028986,39.13043478,45.36231884
Substance use and recovery,75.36231884,20.28985507,44.92753623,41.15942029
Obsessive-Compulsive Disorder (OCD),68.11594203,44.92753623,20.28985507,39.71014493
Sleep and mental health,26.08695652,47.82608696,36.23188406,38.84057971
Emotional numbness,5.797101449,71.01449275,23.1884058,38.84057971
Body image and dysmorphia,71.01449275,43.47826087,15.94202899,37.97101449
Grounding and mindfulness,37.68115942,24.63768116,49.27536232,37.10144928
Self-esteem,69.56521739,14.49275362,43.47826087,37.10144928
Quarter-life and existential crisis,17.39130435,75.36231884,0,33.62318841
Life transitions,72.46376812,7.246376812,40.57971014,33.62318841
Growth mindset,84.05797101,30.43478261,8.695652174,32.46376812
Burnout,24.63768116,60.86956522,5.797101449,31.5942029
Therapy and counseling,4.347826087,5.797101449,69.56521739,31.01449275
Friendship challenges,40.57971014,23.1884058,27.53623188,28.4057971
Bullying and peer pressure,29.71014493,28.98550725,26.08695652,27.97101449
Self-harm urges,1.449275362,63.76811594,2.898550725,26.95652174
Suicidal thoughts (non-emergency),7.246376812,56.52173913,7.246376812,26.95652174
Loneliness,14.49275362,34.7826087,24.63768116,26.66666667
Procrastination and time management,27.53623188,40.57971014,11.5942029,26.37681159
Eating disorders,15.94202899,53.62318841,1.449275362,25.2173913
Trauma healing,36.23188406,26.08695652,17.39130435,24.63768116
Grief and loss,44.92753623,27.53623188,10.14492754,24.05797101
Stress,34.7826087,2.898550725,31.88405797,20.86956522
Anxiety,11.5942029,4.347826087,37.68115942,19.13043478
Emotional regulation,10.14492754,11.5942029,30.43478261,18.84057971
Self-compassion,52.17391304,8.695652174,4.347826087,15.65217391
Academic and work stress,13.04347826,10.14492754,14.49275362,12.46376812
Coping and resilience,18.84057971,0,21.73913043,12.46376812
Depression,2.898550725,13.04347826,13.04347826,11.01449275
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,